 Adverse Conditions;$0.18
 Akoum Firebird;$0.51
 Akoum Hellkite;$0.29
 Akoum Stonewaker;$0.20
 Aligned Hedron Network;$0.32
 Ally Encampment;$0.61
 Altar's Reap;$0.15
 Angel of Renewal;$0.17
 Angelic Captain;$0.29
 Angelic Gift;$0.15
 Anticipate;$0.15
 Bane of Bala Ged;$0.20
 Barrage Tyrant;$0.26
 Beastcaller Savant;$0.40
 Belligerent Whiptail;$0.15
 Benthic Infiltrator;$0.15
 Blight Herder;$0.40
 Blighted Cataract;$0.22
 Blighted Fen;$0.20
 Blighted Gorge;$0.23
 Blighted Steppe;$0.20
 Blighted Woodland;$0.26
 Blisterpod;$0.14
 Bloodbond Vampire;$0.18
 Boiling Earth;$0.15
 Bone Splinters;$0.14
 Breaker of Armies;$0.21
 Brilliant Spectrum;$0.15
 Bring to Light;$0.52
 Brood Butcher;$0.26
 Brood Monitor;$0.18
 Broodhunter Wurm;$0.15
 Brutal Expulsion;$0.32
 Call the Scions;$0.15
 Canopy Vista;$2.49
 Carrier Thrall;$0.20
 Catacomb Sifter;$0.20
 Chasm Guide;$0.19
 Cinder Glade;$3.64
 Cliffside Lookout;$0.14
 Cloud Manta;$0.15
 Clutch of Currents;$0.14
 Coastal Discovery;$0.20
 Complete Disregard;$0.14
 Conduit of Ruin;$0.76
 Coralhelm Guide;$0.15
 Courier Griffin;$0.15
 Crumble to Dust;$0.34
 Cryptic Cruiser;$0.20
 Culling Drone;$0.14
 Dampening Pulse;$0.20
 Deathless Behemoth;$0.21
 Defiant Bloodlord;$0.31
 Demon's Grasp;$0.15
 Desolation Twin;$0.46
 Dispel;$0.17
 Dominator Drone;$0.14
 Dragonmaster Outcast;$2.24
 Drana's Emissary;$0.50
 Drana, Liberator of Malakir;$4.31
 Drowner of Hope;$0.41
 Dust Stalker;$0.33
 Dutiful Return;$0.14
 Earthen Arms;$0.14
 Eldrazi Devastator;$0.14
 Eldrazi Skyspawner;$0.16
 Emeria Shepherd;$0.32
 Encircling Fissure;$0.19
 Endless One;$0.80
 Evolving Wilds;$0.14
 Exert Influence;$0.29
 Expedition Envoy;$0.36
 Eyeless Watcher;$0.14
 Fathom Feeder;$0.36
 Felidar Cub;$0.14
 Felidar Sovereign;$0.50
 Fertile Thicket;$0.14
 Firemantle Mage;$0.20
 Forerunner of Slaughter;$0.19
 Fortified Rampart;$0.14
 From Beyond;$0.69
 Geyserfield Stalker;$0.15
 Ghostly Sentinel;$0.15
 Giant Mantis;$0.15
