 Advent of the Wurm;$0.56
 Aetherling;$0.42
 Alive // Well;$0.18
 Armed // Dangerous;$0.17
 Armored Wolf-Rider;$0.14
 Ascended Lawmage;$0.18
 Awe for the Guilds;$0.14
 Azorius Cluestone;$0.14
 Azorius Guildgate;$0.16
 Bane Alley Blackguard;$0.14
 Battering Krasis;$0.14
 Beck // Call;$0.56
 Beetleform Mage;$0.14
 Blast of Genius;$0.19
 Blaze Commando;$0.20
 Blood Baron of Vizkopa;$2.09
 Blood Scrivener;$0.29
 Boros Battleshaper;$0.28
 Boros Cluestone;$0.14
 Boros Guildgate;$0.15
 Boros Mastiff;$0.14
 Breaking // Entering;$0.70
 Bred for the Hunt;$0.19
 Bronzebeak Moa;$0.19
 Carnage Gladiator;$0.19
 Catch // Release;$0.35
 Clear a Path;$0.14
 Council of the Absolute;$0.70
 Crypt Incursion;$0.19
 Deadbridge Chant;$2.58
 Debt to the Deathless;$0.24
 Deputy of Acquittals;$0.14
 Dimir Cluestone;$0.14
 Dimir Guildgate;$0.17
 Down // Dirty;$0.16
 Dragonshift;$0.27
 Drown in Filth;$0.14
 Emmara Tandris;$0.48
 Exava, Rakdos Blood Witch;$0.36
 Far // Away;$0.24
 Fatal Fumes;$0.14
 Feral Animist;$0.20
 Flesh // Blood;$0.30
 Fluxcharger;$0.19
 Gaze of Granite;$0.32
 Give // Take;$0.19
 Gleam of Battle;$0.18
 Goblin Test Pilot;$0.20
 Golgari Cluestone;$0.14
 Golgari Guildgate;$0.16
 Gruul Cluestone;$0.14
 Gruul Guildgate;$0.15
 Gruul War Chant;$0.19
 Haazda Snare Squad;$0.14
 Haunter of Nightveil;$0.19
 Hidden Strings;$0.16
 Hired Torturer;$0.14
 Izzet Cluestone;$0.14
 Izzet Guildgate;$0.16
 Jelenn Sphinx;$0.19
 Korozda Gorgon;$0.19
 Krasis Incubation;$0.20
 Kraul Warrior;$0.14
 Lavinia of the Tenth;$0.27
 Legion's Initiative;$1.49
 Lyev Decree;$0.14
 Master of Cruelties;$4.75
 Maw of the Obzedat;$0.19
 Maze Abomination;$0.15
 Maze Behemoth;$0.14
 Maze Glider;$0.14
 Maze Rusher;$0.14
 Maze Sentinel;$0.14
 Maze's End;$0.94
 Melek, Izzet Paragon;$0.35
 Mending Touch;$0.14
 Mindstatic;$0.14
 Mirko Vosk, Mind Drinker;$0.93
 Morgue Burst;$0.14
 Murmuring Phantasm;$0.14
 Mutant's Prey;$0.14
 Nivix Cyclops;$0.18
 Notion Thief;$0.74
 Obzedat's Aid;$0.33
 Opal Lake Gatekeepers;$0.14
 Orzhov Cluestone;$0.14
 Orzhov Guildgate;$0.16
 Phytoburst;$0.15
 Pilfered Plans;$0.14
 Plasm Capture;$0.36
 Pontiff of Blight;$0.31
 Possibility Storm;$0.35
 Profit // Loss;$0.20
 Progenitor Mimic;$4.25
 Protect // Serve;$0.19
 Punish the Enemy;$0.14
 Putrefy;$0.26
 Pyrewild Shaman;$0.30
 Rakdos Cluestone;$0.14
 Rakdos Drake;$0.14
 Rakdos Guildgate;$0.16
 Ral Zarek;$8.22
 Ready // Willing;$0.31
 Reap Intellect;$0.73
 Render Silent;$0.84
 Renegade Krasis;$0.45
 Renounce the Guilds;$0.35
 Restore the Peace;$0.20
 Riot Control;$0.15
 Riot Piker;$0.14
 Rot Farm Skeleton;$0.19
 Rubblebelt Maaka;$0.14
 Runner's Bane;$0.14
 Ruric Thar, the Unbowed;$0.46
 Saruli Gatekeepers;$0.14
 Savageborn Hydra;$2.16
 Scab-Clan Giant;$0.19
 Scion of Vitu-Ghazi;$0.34
 Selesnya Cluestone;$0.15
 Selesnya Guildgate;$0.16
 Showstopper;$0.19
 Simic Cluestone;$0.14
 Simic Guildgate;$0.16
 Sin Collector;$0.20
 Sinister Possession;$0.14
 Sire of Insanity;$0.30
 Skylasher;$0.37
 Smelt-Ward Gatekeepers;$0.14
 Species Gorger;$0.19
 Spike Jester;$0.20
 Steeple Roc;$0.14
 Sunspire Gatekeepers;$0.14
 Tajic, Blade of the Legion;$0.72
 Teysa, Envoy of Ghosts;$0.38
 Thrashing Mossdog;$0.14
 Tithe Drinker;$0.19
 Toil // Trouble;$0.22
 Trait Doctoring;$0.27
 Trostani's Summoner;$0.21
 Turn // Burn;$0.22
 Ubul Sar Gatekeepers;$0.14
 Uncovered Clues;$0.14
 Unflinching Courage;$0.35
 Varolz, the Scar-Striped;$0.68
 Viashino Firstblade;$0.14
 Voice of Resurgence;$26.46
 Vorel of the Hull Clade;$0.77
 Wake the Reflections;$0.15
 Warleader's Helix;$0.24
 Warped Physique;$0.19
 Weapon Surge;$0.14
 Wear // Tear;$0.89
 Wind Drake;$0.14
 Woodlot Crawler;$0.20
 Zhur-Taa Ancient;$0.35
 Zhur-Taa Druid;$0.16
