 Acidic Slime;$0.18
 Ajani's Sunstriker;$0.15
 Ajani, Caller of the Pride;$5.18
 Akroma's Memorial;$13.67
 Angel's Mercy;$0.15
 Angelic Benediction;$0.22
 Arbor Elf;$0.19
 Archaeomancer;$0.15
 Arctic Aven;$0.20
 Arms Dealer;$0.16
 Attended Knight;$0.15
 Augur of Bolas;$0.24
 Aven Squire;$0.15
 Battle of Wits;$0.32
 Battleflight Eagle;$0.15
 Bladetusk Boar;$0.14
 Blood Reckoning;$0.17
 Bloodhunter Bat;$0.14
 Bloodthrone Vampire;$0.15
 Bond Beetle;$0.15
 Boundless Realms;$3.07
 Bountiful Harvest;$0.15
 Canyon Minotaur;$0.15
 Captain of the Watch;$0.73
 Captain's Call;$0.15
 Cathedral of War;$1.67
 Centaur Courser;$0.15
 Chandra's Fury;$0.15
 Chandra, the Firebrand;$3.75
 Chronomaton;$0.17
 Cleaver Riot;$0.17
 Clock of Omens;$0.17
 Clone;$0.43
 Courtly Provocateur;$0.20
 Cower in Fear;$0.15
 Craterize;$0.15
 Crimson Muckwader;$0.16
 Crippling Blight;$0.15
 Crusader of Odric;$0.25
 Dark Favor;$0.15
 Deadly Recluse;$0.15
 Diabolic Revelation;$1.23
 Disciple of Bolas;$0.62
 Disentomb;$0.14
 Divination;$0.14
 Divine Favor;$0.15
 Divine Verdict;$0.15
 Door to Nothingness;$1.26
 Downpour;$0.14
 Dragon Hatchling;$0.14
 Dragonskull Summit;$2.49
 Drowned Catacomb;$2.98
 Duress;$0.15
 Duskdale Wurm;$0.20
 Duskmantle Prowler;$0.17
 Duty-Bound Dead;$0.15
 Elderscale Wurm;$2.24
 Elixir of Immortality;$0.40
 Elvish Archdruid;$2.52
 Elvish Visionary;$0.15
 Encrust;$0.14
 Erase;$0.15
 Essence Drain;$0.15
 Essence Scatter;$0.15
 Evolving Wilds;$0.14
 Faerie Invaders;$0.14
 Faith's Reward;$0.95
 Farseek;$0.16
 Fervor;$0.49
 Fire Elemental;$0.14
 Firewing Phoenix;$0.37
 Flames of the Firebrand;$0.17
 Flinthoof Boar;$0.31
 Fog;$0.16
 Fog Bank;$0.77
 Fungal Sprouting;$0.20
 Furnace Whelp;$0.15
 Garruk's Packleader;$0.19
 Garruk, Primal Hunter;$6.42
 Gem of Becoming;$0.16
 Giant Scorpion;$0.15
 Gilded Lotus;$9.02
 Glacial Fortress;$2.46
 Glorious Charge;$0.15
