 Abbot of Keral Keep;$1.31
 Acolyte of the Inferno;$0.20
 Act of Treason;$0.14
 Aegis Angel;$0.53
 Aerial Volley;$0.14
 Akroan Jailer;$0.15
 Akroan Sergeant;$0.14
 Alchemist's Vial;$0.14
 Alhammarret's Archive;$3.74
 Alhammarret, High Arbiter;$0.31
 Ampryn Tactician;$0.14
 Anchor to the Aether;$0.20
 Angel's Tomb;$0.20
 Animist's Awakening;$0.55
 Anointer of Champions;$0.20
 Archangel of Tithes;$3.11
 Artificer's Epiphany;$0.15
 Aspiring Aeronaut;$0.14
 Auramancer;$0.14
 Avaricious Dragon;$1.00
 Aven Battle Priest;$0.14
 Battlefield Forge;$1.07
 Bellows Lizard;$0.14
 Blazing Hellhound;$0.20
 Blessed Spirits;$0.19
 Blightcaster;$0.20
 Blood-Cursed Knight;$0.21
 Boggart Brute;$0.14
 Bonded Construct;$0.14
 Bone to Ash;$0.14
 Bounding Krasis;$0.31
 Brawler's Plate;$0.20
 Calculated Dismissal;$0.16
 Call of the Full Moon;$0.20
 Catacomb Slug;$0.14
 Caustic Caterpillar;$0.14
 Caves of Koilos;$1.26
 Celestial Flare;$0.15
 Chandra's Fury;$0.14
 Chandra's Ignition;$0.39
 Chandra, Fire of Kaladesh;$3.38
 Charging Griffin;$0.14
 Chief of the Foundry;$0.25
 Citadel Castellan;$0.20
 Clash of Wills;$0.71
 Claustrophobia;$0.15
 Cleric of the Forward Order;$0.14
 Cobblebrute;$0.14
 Conclave Naturalists;$0.20
 Consecrated by Blood;$0.21
 Consul's Lieutenant;$0.25
 Cruel Revival;$0.20
 Dark Dabbling;$0.15
 Dark Petition;$1.64
 Day's Undoing;$3.95
 Deadbridge Shaman;$0.15
 Deep-Sea Terror;$0.14
 Demolish;$0.14
 Demonic Pact;$2.63
 Despoiler of Souls;$0.34
 Disciple of the Ring;$0.80
 Disperse;$0.13
 Displacement Wave;$0.31
 Divine Verdict;$0.16
 Dragon Fodder;$0.14
 Dreadwaters;$0.15
 Dwynen's Elite;$0.50
 Dwynen, Gilt-Leaf Daen;$0.54
 Eagle of the Watch;$0.17
 Elemental Bond;$0.21
 Elvish Visionary;$0.15
 Embermaw Hellion;$0.31
 Enlightened Ascetic;$0.15
 Enshrouding MIst;$0.15
 Enthralling Victor;$0.21
 Erebos's Titan;$0.91
 Evolutionary Leap;$0.78
 Evolving Wilds;$0.14
 Exquisite Firecraft;$1.99
 Eyeblight Assassin;$0.15
 Eyeblight Massacre;$0.23
 Faerie Miscreant;$0.14
 Fetid Imp;$0.14
 Fiery Conclusion;$0.21
 Fiery Hellhound;$0.45
 Fiery Impulse;$0.41
