 Accorder Paladin;$0.21
 Ardent Recruit;$0.14
 Banishment Decree;$0.14
 Black Sun's Zenith;$1.80
 Bladed Sentinel;$0.14
 Blightsteel Colossus;$23.99
 Blightwidow;$0.14
 Blisterstick Shaman;$0.14
 Blue Sun's Zenith;$0.90
 Bonehoard;$0.30
 Brass Squire;$0.22
 Burn the Impure;$0.14
 Caustic Hound;$0.14
 Choking Fumes;$0.19
 Concussive Bolt;$0.15
 Consecrated Sphinx;$19.94
 Contested War Zone;$0.45
 Copper Carapace;$0.14
 Core Prowler;$0.21
 Corrupted Conscience;$0.24
 Creeping Corrosion;$1.92
 Crush;$0.14
 Cryptoplasm;$0.75
 Darksteel Plate;$7.59
 Decimator Web;$0.31
 Distant Memories;$0.28
 Divine Offering;$0.14
 Dross Ripper;$0.14
 Fangren Marauder;$0.16
 Flayer Husk;$0.15
 Flensermite;$0.15
 Flesh-Eater Imp;$0.21
 Frantic Salvage;$0.14
 Fuel for the Cause;$0.17
 Galvanoth;$0.29
 Glissa's Courier;$0.14
 Glissa, the Traitor;$2.63
 Gnathosaur;$0.14
 Go for the Throat;$2.37
 Goblin Wardriver;$0.37
 Gore Vassal;$0.20
 Green Sun's Zenith;$5.48
 Gruesome Encore;$0.16
 Gust-Skimmer;$0.15
 Hellkite Igniter;$0.31
 Hero of Bladehold;$7.48
 Hero of Oxid Ridge;$0.97
 Hexplate Golem;$0.14
 Horrifying Revelation;$0.14
 Ichor Wellspring;$0.21
 Inkmoth Nexus;$26.72
 Into the Core;$0.16
 Kemba's Legion;$0.20
 Knowledge Pool;$0.30
 Koth's Courier;$0.14
 Kuldotha Flamefiend;$0.17
 Kuldotha Ringleader;$0.14
 Lead the Stampede;$0.19
 Leonin Relic-Warder;$0.16
 Leonin Skyhunter;$0.15
 Loxodon Partisan;$0.14
 Lumengrid Gargoyle;$0.16
 Magnetic Mine;$0.34
 Massacre Wurm;$8.53
 Master's Call;$0.15
 Melira's Keepers;$0.16
 Metallic Mastery;$0.17
 Mirran Crusader;$1.53
 Mirran Mettle;$0.14
 Mirran Spy;$0.13
 Mirrorworks;$1.70
 Mitotic Manipulation;$0.26
 Morbid Plunder;$0.14
 Mortarpod;$0.18
 Myr Sire;$0.14
 Myr Turbine;$1.43
 Myr Welder;$0.31
 Nested Ghoul;$0.16
 Neurok Commando;$0.20
 Oculus;$0.14
 Ogre Resister;$0.14
 Peace Strider;$0.16
 Phyresis;$0.15
 Phyrexian Crusader;$4.49
 Phyrexian Digester;$0.14
 Phyrexian Hydra;$0.56
 Phyrexian Juggernaut;$0.17
 Phyrexian Rager;$0.15
 Phyrexian Rebirth;$0.76
 Phyrexian Revoker;$1.16
 Phyrexian Vatmother;$0.37
 Pierce Strider;$0.16
 Piston Sledge;$0.16
 Pistus Strike;$0.14
 Plague Myr;$0.31
 Plaguemaw Beast;$0.17
 Praetor's Counsel;$1.77
 Priests of Norn;$0.14
 Psychosis Crawler;$0.80
 Quicksilver Geyser;$0.14
 Quilled Slagwurm;$0.17
 Rally the Forces;$0.14
 Razorfield Rhino;$0.14
 Red Sun's Zenith;$0.61
 Rot Wolf;$0.16
 Rusted Slasher;$0.14
 Sangromancer;$1.79
 Scourge Servant;$0.14
 Septic Rats;$0.20
 Serum Raker;$0.14
 Shimmer Myr;$1.34
 Shriekhorn;$0.17
 Signal Pest;$0.95
 Silverskin Armor;$0.16
 Skinwing;$0.17
 Slagstorm;$0.40
 Sphere of the Suns;$0.19
 Spin Engine;$0.14
 Spine of Ish Sah;$0.41
 Spiraling Duelist;$0.16
 Spire Serpent;$0.14
 Spread the Sickness;$0.14
 Steel Sabotage;$0.15
 Strandwalker;$0.16
 Sword of Feast and Famine;$16.61
 Tangle Hulk;$0.14
 Tangle Mantis;$0.14
 Tezzeret, Agent of Bolas;$20.81
 Thopter Assembly;$0.49
 Thrun, the Last Troll;$10.56
 Tine Shrike;$0.14
 Titan Forge;$0.68
 Training Drone;$0.14
 Treasure Mage;$0.36
 Turn the Tide;$0.14
 Unnatural Predation;$0.14
 Vedalken Anatomist;$0.16
 Vedalken Infuser;$0.16
 Victory's Herald;$0.38
 Viridian Claw;$0.16
 Viridian Corrupter;$0.30
 Viridian Emissary;$0.14
 Virulent Wound;$0.14
 Vivisection;$0.14
 White Sun's Zenith;$0.35
