 Act of Aggression;$0.18
 Alloy Myr;$0.32
 Apostle's Blessing;$0.29
 Argent Mutation;$0.20
 Arm with Aether;$0.17
 Artillerize;$0.15
 Auriok Survivors;$0.19
 Batterskull;$15.50
 Beast Within;$3.32
 Birthing Pod;$5.48
 Blade Splicer;$2.18
 Blighted Agent;$0.84
 Blind Zealot;$0.15
 Blinding Souleater;$0.15
 Bludgeon Brawl;$0.32
 Brutalizer Exarch;$0.20
 Caged Sun;$4.76
 Caress of Phyrexia;$0.20
 Cathedral Membrane;$0.19
 Chained Throatseeker;$0.15
 Chancellor of the Annex;$1.34
 Chancellor of the Dross;$0.44
 Chancellor of the Forge;$0.59
 Chancellor of the Spires;$0.43
 Chancellor of the Tangle;$0.36
 Conversion Chamber;$0.16
 Corrosive Gale;$0.23
 Corrupted Resolve;$0.19
 Darksteel Relic;$0.35
 Death-Hood Cobra;$0.14
 Deceiver Exarch;$0.95
 Defensive Stance;$0.15
 Dementia Bat;$0.15
 Despise;$0.26
 Dismember;$2.21
 Dispatch;$0.78
 Due Respect;$0.20
 Elesh Norn, Grand Cenobite;$18.29
 Enslave;$0.17
 Entomber Exarch;$0.17
 Etched Monstrosity;$0.78
 Evil Presence;$0.15
 Exclusion Ritual;$0.16
 Fallen Ferromancer;$0.18
 Flameborn Viron;$0.15
 Forced Worship;$0.15
 Forest (174);$0.20
 Forest (175);$0.19
 Fresh Meat;$0.30
 Furnace Scamp;$0.15
 Geosurge;$0.37
 Geth's Verdict;$0.48
 Gitaxian Probe;$4.15
 Glissa's Scorn;$0.14
 Glistener Elf;$0.73
 Glistening Oil;$0.34
 Greenhilt Trainee;$0.20
 Gremlin Mine;$0.15
 Grim Affliction;$0.15
 Gut Shot;$0.46
 Hex Parasite;$0.56
 Hovermyr;$0.15
 Ichor Explosion;$0.17
 Immolating Souleater;$0.14
 Impaler Shrike;$0.15
 Inquisitor Exarch;$0.21
 Insatiable Souleater;$0.15
 Invader Parasite;$0.36
 Island (168);$0.17
 Island (169);$0.20
 Isolation Cell;$0.17
 Jin-Gitaxias, Core Augur;$13.20
 Jor Kadeen, the Prevailer;$0.37
 Karn Liberated;$42.47
 Kiln Walker;$0.16
 Lashwrithe;$0.44
 Leeching Bite;$0.15
 Life's Finale;$1.78
 Lost Leonin;$0.15
 Loxodon Convert;$0.15
 Marrow Shards;$0.20
 Master Splicer;$0.25
 Maul Splicer;$0.15
 Melira, Sylvok Outcast;$6.63
 Mental Misstep;$0.76
 Mindcrank;$2.66
 Mindculling;$0.17
 Moltensteel Dragon;$0.50
 Mortis Dogs;$0.15
 Mountain (172);$0.20
 Mountain (173);$0.20
 Mutagenic Growth;$0.92
 Mycosynth Fiend;$0.17
 Mycosynth Wellspring;$0.14
 Myr Superion;$1.74
 Necropouncer;$0.16
 Norn's Annex;$3.19
 Noxious Revival;$1.52
 Numbing Dose;$0.15
 Ogre Menial;$0.15
 Omen Machine;$0.29
 Parasitic Implant;$0.15
 Pestilent Souleater;$0.15
 Phyrexia's Core;$0.18
 Phyrexian Hulk;$0.15
 Phyrexian Ingester;$0.29
 Phyrexian Metamorph;$6.63
 Phyrexian Obliterator;$30.70
 Phyrexian Swarmlord;$0.54
 Phyrexian Unlife;$2.49
 Pith Driller;$0.15
 Plains (166);$0.20
 Plains (167);$0.16
 Porcelain Legionnaire;$0.15
 Postmortem Lunge;$0.19
 Praetor's Grasp;$0.78
 Priest of Urabrask;$0.19
 Pristine Talisman;$0.16
 Psychic Barrier;$0.15
 Psychic Surgery;$0.30
 Puresteel Paladin;$5.39
 Rage Extractor;$0.17
 Razor Swine;$0.14
 Reaper of Sheoldred;$0.24
 Remember the Fallen;$0.14
 Rotted Hystrix;$0.15
 Ruthless Invasion;$0.14
 Scrapyard Salvo;$0.15
 Sensor Splicer;$0.15
 Shattered Angel;$0.73
 Sheoldred, Whispering One;$17.97
 Shriek Raptor;$0.15
 Shrine of Boundless Growth;$0.16
 Shrine of Burning Rage;$0.38
 Shrine of Limitless Power;$0.16
 Shrine of Loyal Legions;$0.25
 Shrine of Piercing Vision;$0.17
 Sickleslicer;$0.17
 Slag Fiend;$0.28
 Slash Panther;$0.15
 Soul Conduit;$0.31
 Spellskite;$24.60
 Spinebiter;$0.22
 Spined Thopter;$0.14
 Spire Monitor;$0.15
 Surge Node;$0.19
 Surgical Extraction;$6.29
 Suture Priest;$0.42
 Swamp (170);$0.18
 Swamp (171);$0.20
 Sword of War and Peace;$14.64
 Tezzeret's Gambit;$0.50
 Thundering Tanadon;$0.14
 Tormentor Exarch;$0.16
 Torpor Orb;$2.75
 Toxic Nim;$0.15
 Trespassing Souleater;$0.15
 Triumph of the Hordes;$1.75
 Unwinding Clock;$5.85
 Urabrask the Hidden;$9.32
 Vapor Snag;$0.42
 Vault Skirge;$0.50
 Victorious Destruction;$0.15
 Viral Drake;$0.42
 Viridian Betrayers;$0.15
 Viridian Harvest;$0.15
 Vital Splicer;$0.17
 Volt Charge;$0.15
 Vorinclex, Voice of Hunger;$20.94
 Vulshok Refugee;$0.17
 War Report;$0.14
 Whipflare;$0.38
 Whispering Specter;$0.25
 Wing Splicer;$0.19
 Xenograft;$0.39
