 Aberrant Researcher;$0.20
 Accursed Witch;$0.20
 Aim High;$0.15
 Alms of the Vein;$0.14
 Altered Ego;$0.31
 Always Watching;$1.75
 Angel of Deliverance;$0.30
 Angelic Purge;$0.14
 Anguished Unmaking;$1.49
 Apothecary Geist;$0.15
 Archangel Avacyn;$18.76
 Arlinn Kord;$8.44
 Asylum Visitor;$0.75
 Autumnal Gloom;$0.21
 Avacyn's Judgment;$0.55
 Avacynian Missionaries;$0.21
 Behind the Scenes;$0.20
 Behold the Beyond;$0.86
 Biting Rain;$0.19
 Bloodmad Vampire;$0.15
 Bound by Moonsilver;$0.21
 Brain in a Jar;$0.50
 Breakneck Rider;$0.20
 Briarbridge Patrol;$0.20
 Broken Concentration;$0.20
 Burn from Within;$0.35
 Bygone Bishop;$0.89
 Byway Courier;$0.14
 Call the Bloodline;$0.22
 Catalog;$0.15
 Cathar's Companion;$0.15
 Chaplain's Blessing;$0.15
 Choked Estuary;$1.80
 Clip Wings;$0.13
 Compelling Deterrence;$0.15
 Confirm Suspicions;$0.32
 Confront the Unknown;$0.14
 Convicted Killer;$0.15
 Corrupted Grafstone;$0.36
 Crawling Sensation;$0.20
 Creeping Dread;$0.20
 Crow of Dark Tidings;$0.15
 Cryptolith Rite;$1.25
 Cult of the Waxing Moon;$0.20
 Dance with Devils;$0.21
 Daring Sleuth;$0.20
 Dauntless Cathar;$0.15
 Dead Weight;$0.14
 Deathcap Cultivator;$0.59
 Declaration in Stone;$5.67
 Deny Existence;$0.14
 Descend upon the Sinful;$1.05
 Devils' Playground;$0.25
 Devilthorn Fox;$0.15
 Diregraf Colossus;$1.55
 Dissension in the Ranks;$0.21
 Drogskol Cavalry;$0.24
 Drownyard Explorers;$0.15
 Drownyard Temple;$0.54
 Drunau Corpse Trawler;$0.21
 Dual Shot;$0.14
 Duskwatch Recruiter;$1.78
 Eerie Interlude;$0.56
 Elusive Tormentor;$0.38
 Ember-Eye Wolf;$0.15
 Emissary of the Sleepless;$0.15
 Engulf the Shore;$0.75
 Epiphany at the Drownyard;$0.41
 Epitaph Golem;$0.22
 Equestrian Skill;$0.15
 Erdwal Illuminator;$0.18
 Essence Flux;$0.23
 Ethereal Guidance;$0.15
 Ever After;$0.49
 Explosive Apparatus;$0.15
 Expose Evil;$0.15
 Falkenrath Gorger;$1.32
 Farbog Revenant;$0.16
 Fevered Visions;$2.43
 Fiery Temper;$0.29
 Flameblade Angel;$0.32
 Fleeting Memories;$0.19
 Foreboding Ruins;$3.11
 Forgotten Creation;$0.32
 Fork in the Road;$0.14
 Forsaken Sanctuary;$0.23
 Fortified Village;$1.75
 Foul Orchard;$0.20
