 Abyssal Persecutor;$2.22
 Admonition Angel;$5.43
 Aether Tradewinds;$0.15
 Agadeem Occultist;$0.57
 Akoum Battlesinger;$0.16
 Amulet of Vigor;$7.50
 Anowon, the Ruin Sage;$2.93
 Apex Hawks;$0.15
 Arbor Elf;$0.20
 Archon of Redemption;$0.29
 Avenger of Zendikar;$4.13
 Basilisk Collar;$9.11
 Battle Hurda;$0.15
 Bazaar Trader;$0.77
 Bestial Menace;$0.20
 Bloodhusk Ritualist;$0.21
 Bojuka Bog;$1.01
 Bojuka Brigand;$0.16
 Brink of Disaster;$0.15
 Bull Rush;$0.15
 Butcher of Malakir;$0.59
 Calcite Snapper;$0.15
 Canopy Cover;$0.30
 Caustic Crawler;$0.18
 Celestial Colonnade;$33.00
 Chain Reaction;$0.34
 Claws of Valakut;$0.15
 Comet Storm;$1.01
 Corrupted Zendikon;$0.15
 Cosi's Ravager;$0.15
 Creeping Tar Pit;$17.99
 Crusher Zendikon;$0.15
 Cunning Sparkmage;$0.20
 Dead Reckoning;$0.15
 Death's Shadow;$13.29
 Deathforge Shaman;$0.18
 Dispel;$0.24
 Dragonmaster Outcast;$4.10
 Dread Statuary;$0.18
 Enclave Elite;$0.15
 Everflowing Chalice;$0.37
 Explore;$0.49
 Eye of Ugin;$11.25
 Feral Contest;$0.15
 Fledgling Griffin;$0.15
 Gnarlid Pack;$0.15
 Goblin Roughrider;$0.15
 Goliath Sphinx;$0.29
 Grappler Spider;$0.15
 Graypelt Hunter;$0.15
 Grotag Thrasher;$0.15
 Groundswell;$0.90
 Guardian Zendikon;$0.15
 Hada Freeblade;$1.51
 Halimar Depths;$0.56
 Halimar Excavator;$0.15
 Hammer of Ruin;$0.18
 Harabaz Druid;$3.83
 Hedron Rover;$0.15
 Horizon Drake;$0.18
 Iona's Judgment;$0.15
 Jace, the Mind Sculptor;$67.50
 Jagwasp Swarm;$0.15
 Join the Ranks;$0.15
 Joraga Warcaller;$3.12
 Jwari Shapeshifter;$2.41
 Kalastria Highborn;$4.86
 Kazuul, Tyrant of the Cliffs;$0.95
 Khalni Garden;$0.17
 Kitesail;$0.15
 Kitesail Apprentice;$0.15
 Kor Firewalker;$1.19
 Lavaclaw Reaches;$1.99
 Leatherback Baloth;$1.69
 Lightkeeper of Emeria;$0.21
 Loam Lion;$0.38
 Lodestone Golem;$0.79
 Marsh Threader;$0.15
 Marshal's Anthem;$0.44
 Mire's Toll;$0.15
 Mordant Dragon;$0.35
 Mysteries of the Deep;$0.15
 Nature's Claim;$0.62
 Nemesis Trap;$0.18
 Novablast Wurm;$2.38
 Omnath, Locus of Mana;$11.38
 Perimeter Captain;$0.35
 Permafrost Trap;$0.17
 Pilgrim's Eye;$0.14
 Pulse Tracker;$0.16
 Quag Vampires;$0.16
 Quest for Renewal;$0.40
 Quest for the Goblin Lord;$0.46
 Quest for the Nihil Stone;$1.04
 Quest for Ula's Temple;$1.85
 Quicksand;$0.15
 Raging Ravine;$15.29
 Razor Boomerang;$0.17
 Refraction Trap;$0.17
 Rest for the Weary;$0.35
 Ricochet Trap;$0.77
 Roiling Terrain;$0.16
 Ruin Ghost;$0.19
 Rumbling Aftershocks;$0.17
 Ruthless Cullblade;$0.15
 Scrib Nibblers;$0.18
 Searing Blaze;$0.98
 Seer's Sundial;$0.29
 Sejiri Merfolk;$0.17
 Sejiri Steppe;$0.15
 Selective Memory;$0.28
 Shoreline Salvager;$0.17
 Skitter of Lizards;$0.15
 Slavering Nulls;$0.17
 Slingbow Trap;$0.17
 Smoldering Spires;$0.14
 Smother;$0.23
 Snapping Creeper;$0.15
 Spell Contortion;$0.16
 Stirring Wildwood;$2.00
 Stone Idol Trap;$0.29
 Stoneforge Mystic;$17.50
 Strength of the Tajuru;$0.33
 Summit Apes;$0.18
 Surrakar Banisher;$0.15
 Talus Paladin;$1.63
 Tectonic Edge;$1.77
 Terastodon;$0.49
 Terra Eternal;$0.49
 Thada Adel, Acquisitor;$1.25
 Tideforce Elemental;$0.18
 Tomb Hex;$0.15
 Treasure Hunt;$0.55
 Tuktuk Scrapper;$0.28
 Twitch;$0.15
 Urge to Feed;$0.33
 Vapor Snare;$0.16
 Vastwood Animist;$0.19
 Vastwood Zendikon;$0.15
 Veteran's Reflexes;$0.15
 Voyager Drake;$0.18
 Walking Atlas;$0.24
 Wind Zendikon;$0.16
 Wolfbriar Elemental;$0.52
 Wrexial, the Risen Deep;$3.54
